Date,Trend,Seasonally_Adjusted
Apr-22,13469.4,13448.8
May-22,13526.2,13487
Jun-22,13576.8,13586
Jul-22,13621,13594
Aug-22,13658.1,13666
Sep-22,13688.1,13674.1
Oct-22,13714.1,13713.2
Nov-22,13740.7,13781.5
Dec-22,13772,13778.3
Jan-23,13810.8,13800.1
Feb-23,13855.6,13838.9
Mar-23,13902.9,13928.7
Apr-23,13948.6,13927.1
May-23,13989.8,14015.3
Jun-23,14026,14033.9
Jul-23,14058.9,14028.8
Aug-23,14089,14101.5
Sep-23,14117.3,14095.6
Oct-23,14144.1,14151.9
Nov-23,14168.3,14200.5
Dec-23,14189.7,14147.1
Jan-24,14207.7,14144.4
Feb-24,14226.4,14251.4
Mar-24,14248.2,14229.4
Apr-24,14274,14264.1
May-24,14302.9,14293.9
Jun-24,14333.8,14328.2
Jul-24,14364.7,14376.9
Aug-24,14395.8,14409.7
Sep-24,14426.5,14446.7
Oct-24,14454.4,14444.9
Nov-24,14479.7,14463.9
Dec-24,14502.1,14511.1
Jan-25,14521.6,14542.7
Feb-25,14537.5,14468
Mar-25,14549.8,14498.2
Apr-25,14560.1,14600.4
May-25,14568.8,14591.4
Jun-25,14578.1,14580.9
Jul-25,14588.4,14613.2
Aug-25,14601.1,14600
Sep-25,14614.9,14609.8
Oct-25,14630.3,14643.6
Nov-25,14647.5,14604.9
Dec-25,14665.7,14662.1
Jan-26,14683.7,14696.8
Feb-26,14700.2,14719.7
Mar-26,14716.4,14739.1
Apr-26,14733.6,14698.5
May-26,14753.7,14738.8
